protocol,training_seed,filter_beta,repeat,summary_path,scenario_bank_hash,controller_noise_enabled,num_envs,scenario_count,episode_rows,safe_success_rate,collision_rate,stuck_rate,timeout_rate,other_failure_rate,mean_robot_speed_mps,intervention_frequency,mean_intervention_norm,event_rate_V_raw_gt,event_rate_V_filter_gt,event_rate_V_bound_gt,event_rate_V_track_gt,event_rate_V_raw_learned,event_rate_V_filter_learned,event_rate_V_bound_learned,event_rate_V_track_learned,event_rate_raw_clamp_event,event_rate_filter_change_event,event_rate_bound_clip_event,dist_mean_filter_delta,dist_mean_filter_delta_yaw_abs,dist_mean_bound_clip_delta,dist_mean_bound_clip_delta_yaw_abs,dist_mean_actual_velocity_change,dist_mean_tracking_error_post,dist_mean_tracking_error_pre,collision_window_V_filter_gt_rate,collision_window_V_bound_gt_rate,collision_window_V_track_gt_rate,collision_window_delta_r_filter_gt,collision_window_delta_r_bound_gt,collision_window_filter_delta,collision_window_bound_clip_delta,collision_window_tracking_error_post,collision_window_actual_velocity_change,success_window_V_filter_gt_rate,success_window_V_bound_gt_rate,success_window_V_track_gt_rate,success_window_delta_r_filter_gt,success_window_delta_r_bound_gt,success_window_filter_delta,success_window_bound_clip_delta,success_window_tracking_error_post,success_window_actual_velocity_change
filter_sweep,1,0.5,repeat_1,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_0p5/repeat_1/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.326171875,0.568359375,0.10546875,0.0,,0.6357467593527856,0.3435399510089982,0.049054264018739364,0.0,0.004892312081015547,4.7544335092473735e-06,0.01714448723434603,0.0,0.0038891266105643514,0.0,0.01585603575333999,0.0,0.9999904911329816,0.0017591403984215282,0.03519819271346347,0.022581224648765885,9.81258849834277e-05,2.933248317128881e-05,0.02457345784446024,0.14623642455673758,0.15627065678108984,0.00578168362627197,3.85445575084798e-05,0.018925377736663584,-0.006254563112286584,-0.00044117341948959735,0.04569156643366998,0.0005731310586568808,0.1699713186469198,0.031910127525925834,0.0006586826347305389,0.0,0.00934131736526946,-0.0009236862011041916,0.0,0.009835116738163405,0.0,0.09788782865469885,0.011120206786761705
filter_sweep,1,0.5,repeat_2,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_0p5/repeat_2/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.328125,0.564453125,0.10546875,0.0,,0.6345966386839956,0.34644372800486306,0.049720194337516184,0.0,0.005385238787146399,4.795404084725199e-06,0.017613519203195656,0.0,0.003989776198491366,0.0,0.01593512777354184,0.0,1.0,0.0021051823931943626,0.03527935340254802,0.022577346251643593,0.00013863547758514663,3.995884489965218e-05,0.02461126294105531,0.14632877248629161,0.1563336341816006,0.00604698038607644,3.876269478254128e-05,0.019846499728661135,-0.006434209216713873,-0.000650960860492481,0.04727965143464359,0.0008314821591304895,0.17364022688965908,0.03264075642855041,0.0010119047619047618,0.0,0.009107142857142857,-0.0010237110160025104,0.0,0.010283970658074015,0.0,0.0962814063093711,0.011395885121447636
filter_sweep,1,0.5,repeat_3,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_0p5/repeat_3/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.328125,0.5625,0.10546875,0.0,,0.6356268823030117,0.34256576327432037,0.049401123836101915,0.0,0.005182849996909309,4.754908254045238e-06,0.017131934439324994,0.0,0.004269907612132624,0.0,0.015691197238349285,0.0,1.0,0.002158728347336538,0.03511461953115442,0.022458936920024902,0.00015944586764180213,3.416654302479517e-05,0.0245390558211105,0.14593749770712028,0.15591041817755397,0.006334525104927716,0.0,0.01779884968133064,-0.00648648075985582,-0.000720113941195981,0.046722135805518615,0.0009204820361635223,0.17191984658197648,0.03242369523051554,0.0011904761904761906,0.0,0.006488095238095238,-0.0009437940947134934,0.0,0.010010859795002196,0.0,0.09666475134284286,0.011330285872913919
filter_sweep,1,0.75,repeat_1,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_0p75/repeat_1/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.322265625,0.568359375,0.109375,0.0,,0.6324599450200562,0.3516146620446414,0.05032491595082464,0.0,0.0018717583574248797,4.762743912022595e-06,0.017684068145339894,0.0,0.0013907212223105976,0.0,0.016088548934812322,0.0,1.0,0.002362320980363207,0.013315155818289938,0.008461603084261516,0.00013832721002976378,4.801827376206193e-05,0.024964208719621912,0.15066069578177396,0.16099878536025813,0.0022726397288240054,3.8519317437695e-05,0.019375216671160586,-0.00211875295079032,-0.0005891638825925233,0.017874117691512394,0.0008049324934896118,0.17971056717584047,0.03337711355761649,0.00030303030303030303,0.0,0.009696969696969697,-0.0003150041127916087,0.0,0.0036354109095931507,0.0,0.10040459385210874,0.01140437020771986
filter_sweep,1,0.75,repeat_2,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_0p75/repeat_2/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.3203125,0.5703125,0.107421875,0.0,,0.629686257904623,0.3504930166888067,0.05043295156803736,0.0,0.002016465417379739,9.534115448603967e-06,0.017919369985651155,0.0,0.0015921972799168625,0.0,0.016451116206566144,0.0,0.9999952329422757,0.0024455006125669175,0.013271493195817451,0.008442801948051639,0.00015517099780420205,5.03271310831215e-05,0.024879646800379247,0.1503894576603202,0.16067147364007522,0.0022282838372584424,3.8418686849283494e-05,0.01847938837450536,-0.0020892773815899958,-0.0005948493095653175,0.01788681090930091,0.0007592916628619566,0.17866200291954856,0.03330939090815893,0.00036585365853658537,0.0,0.0075,-0.0002522387193152454,0.0,0.0036358173257821412,0.0,0.09695230345026996,0.01146944819234172
filter_sweep,1,0.75,repeat_3,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_0p75/repeat_3/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.3203125,0.5703125,0.107421875,0.0,,0.6299801913854026,0.35084122796369144,0.05016433083314369,0.0,0.001859566677718355,4.805081854569393e-06,0.017053235501866774,0.0,0.0014271093108071096,0.0,0.01614026994949859,0.0,0.9999951949181455,0.0021238461797196714,0.013262411958272038,0.00843989977483369,0.00012621993436590784,3.7987817861055106e-05,0.02483362803811105,0.15008606386864257,0.1603401300643983,0.0022684455380829714,3.8448229459033414e-05,0.021108077973009343,-0.0021375655522994337,-0.0005913518503548351,0.018041546487817736,0.0007479723146609028,0.17918571125533048,0.03341437710251431,0.0003048780487804878,0.0,0.010304878048780488,-0.00031075386740068517,0.0,0.003576179923957406,0.0,0.09887194856767409,0.011351862414328314
filter_sweep,1,1.0,repeat_1,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_1p0/repeat_1/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.32421875,0.568359375,0.1015625,0.0,,0.6330134548302356,0.3488481744104773,0.049910896919779894,0.0,0.0,9.568233464896543e-06,0.017926085396483674,0.0,0.0,0.0,0.016170314555675157,0.0,0.0,0.002707810070565722,0.0,0.0,0.00022152419950228932,5.798482592632548e-05,0.02503633776203083,0.15297003956663496,0.1633419862488617,0.0,0.0,0.01997015953173419,0.0,-0.0006098512685117864,0.0,0.0008671192525779787,0.18075244321102893,0.033248495949559934,0.0,0.0,0.008554216867469879,0.0,0.0,0.0,0.0,0.09764782645422629,0.011532871481105912
filter_sweep,1,1.0,repeat_2,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_1p0/repeat_2/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.328125,0.56640625,0.1015625,0.0,,0.6318511283711554,0.3478492867374635,0.04973062084828618,0.0,0.0,0.0,0.018271439870438024,0.0,0.0,0.0,0.017117999322059433,0.0,0.0,0.002777673157319875,0.0,0.0,0.00020100519495408782,6.646374788065558e-05,0.025061180864585055,0.15352583258274313,0.16388101864306212,0.0,0.0,0.019597989949748745,0.0,-0.0006549022126990393,0.0,0.0009074424660235793,0.18347112315528122,0.033159368463316394,0.0,0.0,0.009226190476190476,0.0,0.0,0.0,0.0,0.0988432351698672,0.011437296461863297
filter_sweep,1,1.0,repeat_3,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed1/beta_1p0/repeat_3/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.330078125,0.5703125,0.095703125,0.0,,0.6317515603217653,0.34657039685645685,0.049433429266064574,0.0,0.0,4.753619881539792e-06,0.017707234058735727,0.0,0.0,0.0,0.016385727731667663,0.0,0.0,0.002633505414373045,0.0,0.0,0.00022978226893395235,5.112197498579647e-05,0.025025582032331604,0.15277848598459892,0.16314437571072776,0.0,0.0,0.019383697813121274,0.0,-0.0006091184313075042,0.0,0.0008524223467918197,0.18091591337335264,0.032660748524158546,0.0,0.0,0.007633136094674556,0.0,0.0,0.0,0.0,0.09826391565551452,0.011639007515105092
filter_sweep,2,0.5,repeat_1,training/legged_gym/logs/go2_pos_dynamic/phase4_5_execution_audit/filter_sweep/seed2/beta_0p5/repeat_1/summary.json,466b093b1b7698d322047c29d3bc81e61fb84e427d2d755a8e95f56d00fa8bee,False,64,512,512,0.400390625,0.54296875,0.052734375,0.0,,0.6340281086822872,0.32476815442824275,0.05077111025195181,0.0,0.004916654087507817,1.2938563388178466e-05,0.016789942423392924,0.0,0.003696116274556315,4.3128544627261554e-06,0.015396890431932375,0.0,1.0,0.002980182433743773,0.03261266348033608,0.018039981672201503,0.00027610720293427484,5.828707069020381e-05,0.024594156345053256,0.14107096388464488,0.15156955451067886,0.006636814329122022,7.996161842315688e-05,0.022669118822964976,-0.005751212708671084,-0.0016139167896103291,0.04468312720770165,0.0023851693757849465,0.17341382243756648,0.0321123930696655,0.0014146341463414634,0.0,0.000975609756097561,-0.0008587721809290531,0.0,0.00898779217562448,0.0,0.10958078005129085,0.01178088347524641
