seed,mode,repeats,safe_success_rate_mean,safe_success_rate_std,safe_success_rate_min,safe_success_rate_max,collision_rate_mean,collision_rate_std,collision_rate_min,collision_rate_max,stuck_rate_mean,stuck_rate_std,stuck_rate_min,stuck_rate_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,mean_robot_speed_mps_mean,mean_robot_speed_mps_std,mean_robot_speed_mps_min,mean_robot_speed_mps_max,intervention_frequency_mean,intervention_frequency_std,intervention_frequency_min,intervention_frequency_max,mean_intervention_norm_mean,mean_intervention_norm_std,mean_intervention_norm_min,mean_intervention_norm_max,max_intervention_norm_mean,max_intervention_norm_std,max_intervention_norm_min,max_intervention_norm_max
1,predictive_learned,3,0.3463541666666667,0.0018414239093399675,0.34375,0.34765625,0.568359375,0.0027621358640099515,0.564453125,0.5703125,0.08463541666666667,0.005126307209643106,0.080078125,0.091796875,0.0,0.0,0.0,0.0,0.636554320565856,0.0007266661570744642,0.6355427990248737,0.6372171917588296,0.34633564955835605,0.001877550109490713,0.34372329076491986,0.3480535057351339,0.049459737563638584,0.0004765192572112221,0.048872489248554495,0.05003964910487554,1.0840988556543987,0.02818865397237264,1.0500695705413818,1.1190969944000244
1,oracle_gt_0p1,3,0.34765625,0.001594719884624465,0.345703125,0.349609375,0.5625,0.00318943976924893,0.55859375,0.56640625,0.08919270833333333,0.0033196741624953027,0.0859375,0.09375,0.0,0.0,0.0,0.0,0.6385837872501795,0.001477221166655684,0.6369212931686847,0.6405106430872449,0.3840655580485532,0.0015870706562849744,0.38201883604708925,0.38588665753312795,0.06778923074041647,5.6094522096790275e-05,0.06770990915336979,0.06782987004566567,3.6290884017944336,0.2220230260000344,3.325380563735962,3.8499531745910645
1,oracle_gt_0p2,3,0.349609375,0.005524271728019903,0.345703125,0.357421875,0.5579427083333334,0.009612515013172788,0.546875,0.5703125,0.09114583333333333,0.005126307209643106,0.083984375,0.095703125,0.0,0.0,0.0,0.0,0.636858601511755,0.0014662874580491589,0.63528764609451,0.6388162876797481,0.3873130974558925,0.0009272606241955154,0.38638124770825494,0.3885780595213651,0.0689010892623924,0.0001614188099187431,0.06873629301399059,0.06912029270694997,1.5679508050282795,0.016626249583298478,1.551790475845337,1.5908222198486328
1,oracle_gt_0p3,3,0.3483072916666667,0.0024359748611809512,0.345703125,0.3515625,0.5638020833333334,0.0009207119546699837,0.5625,0.564453125,0.08723958333333333,0.003682847818679935,0.08203125,0.08984375,0.0,0.0,0.0,0.0,0.6369755020310839,0.000545069224883113,0.6362444606427139,0.6375527644458616,0.3848451705929792,0.0011243797564408533,0.3832655924706268,0.3857932141061633,0.06409298374111007,0.000237373607053345,0.06375999074338104,0.0642963053887978,1.2753783464431763,0.08165129667569321,1.2006571292877197,1.3889816999435425
1,oracle_gt_0p5,3,0.3307291666666667,0.004603559773349919,0.32421875,0.333984375,0.5774739583333334,0.006639348324990605,0.568359375,0.583984375,0.08984375,0.00318943976924893,0.0859375,0.09375,0.0,0.0,0.0,0.0,0.6359645141402775,0.0006026412231009876,0.6354412700018153,0.6368087392856632,0.3734919724455737,0.0035578727191976716,0.36846694229952903,0.3762269542633534,0.05353592876376557,0.0004886876075424733,0.052850217521221564,0.05395343983048496,0.9776127735773722,0.010001469518903376,0.9698641896247864,0.9917346835136414
1,oracle_gt_multi,3,0.3606770833333333,0.006037512041338349,0.35546875,0.369140625,0.5572916666666666,0.007866566389058966,0.55078125,0.568359375,0.080078125,0.005749844314015525,0.07421875,0.087890625,0.0,0.0,0.0,0.0,0.6375053659112181,0.0005150721026042118,0.6368583754163663,0.6381186910760097,0.4251744953380984,0.0020936216965821083,0.42221855548856974,0.42679974872111626,0.08338175281893467,0.00085285972111997,0.08221521698241226,0.08423044523200554,3.236188809076945,0.41581320663892063,2.6723833084106445,3.6628100872039795
2,predictive_learned,3,0.3880208333333333,0.009207119546699838,0.375,0.39453125,0.5572916666666666,0.005126307209643106,0.552734375,0.564453125,0.053385416666666664,0.0024359748611809512,0.05078125,0.056640625,0.0,0.0,0.0,0.0,0.6360185690321011,0.0017294995338710784,0.6335825143613382,0.6374262834447468,0.3273803973008296,0.0009351292812057693,0.3263424838101885,0.3286091088265578,0.050520041751264365,0.0001583785797458891,0.050313474965612705,0.05069831370376861,1.0976134936014812,0.029030720839895205,1.0573450326919556,1.1246768236160278
2,oracle_gt_0p1,3,0.388671875,0.012455160462050124,0.37109375,0.3984375,0.5572916666666666,0.01473139127471974,0.546875,0.578125,0.05078125,0.0027621358640099515,0.046875,0.052734375,0.0,0.0,0.0,0.0,0.6413081381554049,0.0005537077756021359,0.6405818480513948,0.6419247895480726,0.3704500132420491,0.0008806986160678513,0.3693281011768626,0.37147940290602194,0.06895572872150528,0.00043883834586661084,0.06857167926709122,0.06956994789814007,5.549012660980225,0.34169801618158857,5.1049113273620605,5.936038494110107
2,oracle_gt_0p2,3,0.388671875,0.008286407592029853,0.3828125,0.400390625,0.556640625,0.009700302360515195,0.54296875,0.564453125,0.052083333333333336,0.0033196741624953027,0.048828125,0.056640625,0.0,0.0,0.0,0.0,0.6382044774835344,0.0008346974201432634,0.6373845249921521,0.6393498706917017,0.3744742684133882,0.0017643122941183623,0.3719893294105953,0.3759116877059226,0.0700593887365804,0.0009458491596569777,0.06872290097660877,0.07077555233923093,3.7181522846221924,0.02598533662801793,3.6934709548950195,3.7540721893310547
2,oracle_gt_0p3,3,0.3938802083333333,0.003682847818679935,0.388671875,0.396484375,0.552734375,0.0027621358640099515,0.55078125,0.556640625,0.05078125,0.0027621358640099515,0.046875,0.052734375,0.0,0.0,0.0,0.0,0.6383135729762834,0.0005670580148794215,0.6375118712924479,0.6387313942619166,0.37005626206173337,0.001356150331989428,0.36875639662462667,0.3719274555912907,0.06573370496935484,0.0003676807211440117,0.06530992550220838,0.06620653893350285,2.589980204900106,0.07669467739582181,2.5103707313537598,2.693580389022827
