seed,mode,difficulty_bin,repeats,safe_success_rate_mean,safe_success_rate_std,collision_rate_mean,collision_rate_std,stuck_rate_mean,mean_robot_speed_mps
1,predictive_learned,low,3,0.5594541910331383,0.009939609188290021,0.3157894736842105,0.012633022803913957,0.12475633528265107,0.601564292775245
1,predictive_learned,medium,3,0.31578947368421045,0.004774833806594888,0.5964912280701754,0.008270254750719828,0.08771929824561403,0.6261148222841676
1,predictive_learned,high,3,0.1627450980392157,0.002772967769359013,0.7941176470588235,0.00480292106428077,0.041176470588235294,0.6822510791444628
1,oracle_gt_0p1,low,3,0.5360623781676414,0.007293679116518423,0.3216374269005848,0.008270254750719854,0.14230019493177387,0.5998904847898707
1,oracle_gt_0p1,medium,3,0.32358674463937614,0.009939609188290028,0.5906432748538012,0.01263302280391394,0.08576998050682261,0.6280891470457702
1,oracle_gt_0p1,high,3,0.18235294117647058,0.0,0.7764705882352941,0.0,0.0392156862745098,0.6880610707541033
1,oracle_gt_0p2,low,3,0.5419103313840156,0.022564984215965322,0.30409356725146197,0.02658514950679504,0.15204678362573099,0.5999993799430535
1,oracle_gt_0p2,medium,3,0.33723196881091616,0.013783757917866422,0.5789473684210527,0.004774833806594889,0.08187134502923976,0.6239155279598604
1,oracle_gt_0p2,high,3,0.16862745098039214,0.016867304445181617,0.792156862745098,0.009998077477632927,0.0392156862745098,0.6869538513095312
1,oracle_gt_0p3,low,3,0.5399610136452241,0.005513503167146569,0.31578947368421045,0.008270254750719854,0.1442495126705653,0.601895613232237
1,oracle_gt_0p3,medium,3,0.33918128654970753,0.008270254750719854,0.580896686159844,0.009939609188290021,0.07797270955165692,0.6256718709274751
1,oracle_gt_0p3,high,3,0.16470588235294117,0.0048029210642807465,0.796078431372549,0.002772967769359052,0.0392156862745098,0.6836318661682604
1,oracle_gt_0p5,low,3,0.5477582846003899,0.014587358233036807,0.3079922027290449,0.02355369585496018,0.14230019493177387,0.6017784433551079
1,oracle_gt_0p5,medium,3,0.29434697855750486,0.011027006334293137,0.6140350877192983,0.009549667613189776,0.08966861598440545,0.627160377052442
1,oracle_gt_0p5,high,3,0.14901960784313725,0.00733658311132145,0.811764705882353,0.004802921064280724,0.03725490196078431,0.6792076055890081
1,oracle_gt_multi,low,3,0.5536062378167642,0.015348943224194552,0.32943469785575047,0.0027567515835732843,0.11695906432748537,0.6003454320186249
1,oracle_gt_multi,medium,3,0.3508771929824561,0.012633022803913957,0.553606237816764,0.014587358233036807,0.09161793372319688,0.6262084403204516
1,oracle_gt_multi,high,3,0.17647058823529413,0.004802921064280735,0.7901960784313725,0.009998077477632912,0.03137254901960784,0.6862472657444801
2,predictive_learned,low,3,0.5925925925925926,0.009939609188290021,0.28654970760233917,0.009549667613189776,0.12085769980506822,0.6385273267291439
2,predictive_learned,medium,3,0.3645224171539961,0.019297261085012993,0.6023391812865497,0.014324501419784667,0.03313840155945419,0.6278935034528278
2,predictive_learned,high,3,0.2058823529411765,0.004802921064280735,0.7843137254901961,0.007336583111321428,0.0058823529411764705,0.6416679140195201
2,oracle_gt_0p1,low,3,0.6023391812865497,0.019099335226379553,0.28654970760233917,0.025266045607827914,0.10916179337231968,0.6379761169333839
2,oracle_gt_0p1,medium,3,0.35282651072124754,0.02256498421596535,0.6081871345029239,0.020813018035148765,0.037037037037037035,0.632724529162641
2,oracle_gt_0p1,high,3,0.20980392156862746,0.002772967769359013,0.7784313725490196,0.002772967769359,0.0058823529411764705,0.6532938603126297
2,oracle_gt_0p2,low,3,0.6101364522417154,0.005513503167146569,0.2787524366471735,0.014587358233036807,0.1111111111111111,0.6376486952591679
2,oracle_gt_0p2,medium,3,0.3469785575048732,0.02355369585496018,0.6101364522417154,0.024032803130483338,0.04093567251461988,0.6290678057483233
2,oracle_gt_0p2,high,3,0.20784313725490197,0.002772967769359013,0.7823529411764706,0.004802921064280724,0.00392156862745098,0.6479539458781676
2,oracle_gt_0p3,low,3,0.6023391812865497,0.004774833806594889,0.29239766081871343,0.0,0.10526315789473684,0.6375219379112109
2,oracle_gt_0p3,medium,3,0.3723196881091618,0.007293679116518403,0.5847953216374268,0.009549667613189776,0.04093567251461988,0.632056345700285
2,oracle_gt_0p3,high,3,0.2058823529411765,0.009605842128561482,0.7823529411764705,0.012707334702760515,0.0058823529411764705,0.6454038992134786
2,oracle_gt_0p5,low,3,0.6101364522417154,0.012016401565241693,0.28654970760233917,0.020813018035148755,0.10331384015594541,0.6389080245306867
2,oracle_gt_0p5,medium,3,0.34113060428849895,0.007293679116518403,0.6198830409356725,0.004774833806594889,0.03898635477582846,0.6260308706984792
2,oracle_gt_0p5,high,3,0.19411764705882353,0.0,0.796078431372549,0.002772967769359052,0.0058823529411764705,0.6370584997942897
2,oracle_gt_multi,low,3,0.617933723196881,0.007293679116518423,0.290448343079922,0.007293679116518403,0.09161793372319688,0.640411916279385
2,oracle_gt_multi,medium,3,0.3645224171539961,0.009939609188290028,0.5828460038986355,0.009939609188290021,0.04483430799220273,0.6368686277065819
2,oracle_gt_multi,high,3,0.203921568627451,0.012087086280331328,0.7901960784313725,0.012087086280331331,0.00392156862745098,0.652019947659867
