seed,mode,repeat,safe_success_rate,collision_rate,stuck_rate,timeout_rate,mean_robot_speed_mps,intervention_frequency,mean_intervention_norm,max_intervention_norm,collision_episode_count,output_dir
2,predictive_learned,2,0.39453125,0.552734375,0.052734375,0.0,0.6374262834447468,0.3286091088265578,0.050313474965612705,1.11081862449646,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/predictive_learned/repeat2
2,predictive_learned,3,0.39453125,0.5546875,0.05078125,0.0,0.6370469092902182,0.3263424838101885,0.05069831370376861,1.0573450326919556,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/predictive_learned/repeat3
2,oracle_gt_0p1,1,0.37109375,0.578125,0.046875,0.0,0.6419247895480726,0.37147940290602194,0.06956994789814007,5.1049113273620605,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p1/repeat1
2,oracle_gt_0p1,2,0.3984375,0.546875,0.052734375,0.0,0.6414177768667472,0.3693281011768626,0.06857167926709122,5.936038494110107,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p1/repeat2
2,oracle_gt_0p1,3,0.396484375,0.546875,0.052734375,0.0,0.6405818480513948,0.3705425356432627,0.06872555899928454,5.606088161468506,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p1/repeat3
2,oracle_gt_0p2,1,0.400390625,0.54296875,0.056640625,0.0,0.6373845249921521,0.3719893294105953,0.06872290097660877,3.706913709640503,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p2/repeat1
2,oracle_gt_0p2,2,0.3828125,0.5625,0.05078125,0.0,0.6378790367667491,0.3759116877059226,0.07067971289390144,3.6934709548950195,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p2/repeat2
2,oracle_gt_0p2,3,0.3828125,0.564453125,0.048828125,0.0,0.6393498706917017,0.3755217881236468,0.07077555233923093,3.7540721893310547,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p2/repeat3
2,oracle_gt_0p3,1,0.388671875,0.556640625,0.052734375,0.0,0.6387313942619166,0.3694849339692827,0.06568465047235328,2.5659894943237305,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p3/repeat1
2,oracle_gt_0p3,2,0.396484375,0.55078125,0.046875,0.0,0.6386974533744859,0.36875639662462667,0.06530992550220838,2.693580389022827,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p3/repeat2
2,oracle_gt_0p3,3,0.396484375,0.55078125,0.052734375,0.0,0.6375118712924479,0.3719274555912907,0.06620653893350285,2.5103707313537598,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p3/repeat3
2,oracle_gt_0p5,1,0.375,0.57421875,0.048828125,0.0,0.6329146811274339,0.3569682978289537,0.05502725054955964,1.414656162261963,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p5/repeat1
2,oracle_gt_0p5,2,0.384765625,0.5703125,0.044921875,0.0,0.6339501191606658,0.3562278785577722,0.054184739742395634,0.8801745772361755,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p5/repeat2
2,oracle_gt_0p5,3,0.38671875,0.556640625,0.0546875,0.0,0.6351146687502773,0.3528362833587607,0.05367315512329333,0.9959852695465088,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_0p5/repeat3
2,oracle_gt_multi,1,0.40234375,0.552734375,0.04296875,0.0,0.6437153619161013,0.410533614458453,0.0844705585495297,6.546792507171631,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_multi/repeat1
2,oracle_gt_multi,2,0.392578125,0.556640625,0.046875,0.001953125,0.6427810825119366,0.41034213819195003,0.08496145070547971,6.173522472381592,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_multi/repeat2
2,oracle_gt_multi,3,0.392578125,0.552734375,0.05078125,0.0,0.6427517828597226,0.4062075607525724,0.08477920128168746,6.902687072753906,0,/home/hust_hbc/codespace/SEA-Nav-Code/training/legged_gym/logs/go2_pos_dynamic/phase4_failure_oracle/oracle_eval/seed2/oracle_gt_multi/repeat3
