seed,mode,safe_success_rate_mean,collision_rate_mean,safe_success_headroom_vs_learned,collision_headroom_vs_learned,safe_success_headroom_vs_gt0p1,collision_headroom_vs_gt0p1
1,oracle_gt_0p1,0.34765625,0.5625,0.0013020833333333148,0.005859375,0.0,0.0
1,oracle_gt_0p2,0.349609375,0.5579427083333334,0.003255208333333315,0.01041666666666663,0.001953125,0.00455729166666663
1,oracle_gt_0p3,0.3483072916666667,0.5638020833333334,0.001953125,0.00455729166666663,0.0006510416666666852,-0.0013020833333333703
1,oracle_gt_0p5,0.3307291666666667,0.5774739583333334,-0.015625,-0.00911458333333337,-0.016927083333333315,-0.01497395833333337
1,oracle_gt_multi,0.3606770833333333,0.5572916666666666,0.01432291666666663,0.01106770833333337,0.013020833333333315,0.00520833333333337
2,oracle_gt_0p1,0.388671875,0.5572916666666666,0.0006510416666666852,0.0,0.0,0.0
2,oracle_gt_0p2,0.388671875,0.556640625,0.0006510416666666852,0.0006510416666666297,0.0,0.0006510416666666297
2,oracle_gt_0p3,0.3938802083333333,0.552734375,0.005859375,0.00455729166666663,0.005208333333333315,0.00455729166666663
2,oracle_gt_0p5,0.3821614583333333,0.5670572916666666,-0.005859375,-0.009765625,-0.006510416666666685,-0.009765625
2,oracle_gt_multi,0.3958333333333333,0.5540364583333334,0.0078125,0.0032552083333332593,0.007161458333333315,0.0032552083333332593
